Country,Continent,ISO_Code,Level,GDLCODE,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambodia,Asia/Pacific,KHM,National,KHMt,Total,0.387,0.392,0.396,0.399,0.4,0.404,0.408,0.414,0.419,0.429,0.438,0.453,0.473,0.488,0.502,0.514,0.525,0.534,0.539,0.539,0.543,0.547,0.551,0.554,0.557,0.562,0.57,0.578,0.586,0.593,0.595,0.594,0.602,0.606
Cambodia,Asia/Pacific,KHM,Subnat,KHMr101,"Banteay Mean Chey",0.372,0.377,0.38,0.383,0.384,0.388,0.392,0.397,0.403,0.412,0.421,0.433,0.45,0.462,0.473,0.481,0.494,0.505,0.511,0.513,0.519,0.531,0.542,0.553,0.564,0.573,0.586,0.598,0.61,0.621,0.626,0.63,0.638,0.642
Cambodia,Asia/Pacific,KHM,Subnat,KHMr113,"Bat Dambang-Krong Pailin",0.396,0.401,0.405,0.407,0.409,0.413,0.417,0.423,0.428,0.438,0.448,0.46,0.478,0.49,0.502,0.511,0.525,0.537,0.544,0.547,0.554,0.561,0.568,0.575,0.581,0.582,0.586,0.59,0.593,0.596,0.594,0.589,0.596,0.6
Cambodia,Asia/Pacific,KHM,Subnat,KHMr102,"Kampong Cham (incl Tboung Khmum)",0.372,0.376,0.38,0.382,0.384,0.387,0.392,0.397,0.402,0.411,0.42,0.435,0.454,0.468,0.482,0.492,0.503,0.511,0.516,0.516,0.52,0.524,0.528,0.531,0.535,0.536,0.54,0.543,0.546,0.548,0.545,0.54,0.547,0.551
Cambodia,Asia/Pacific,KHM,Subnat,KHMr103,"Kampong Chhnang",0.351,0.355,0.359,0.361,0.363,0.366,0.37,0.375,0.38,0.389,0.398,0.42,0.447,0.469,0.491,0.509,0.512,0.514,0.511,0.504,0.501,0.511,0.521,0.531,0.541,0.551,0.563,0.576,0.588,0.599,0.605,0.609,0.617,0.621
Cambodia,Asia/Pacific,KHM,Subnat,KHMr104,"Kampong Spueu",0.366,0.37,0.374,0.376,0.377,0.381,0.385,0.39,0.395,0.405,0.414,0.429,0.45,0.464,0.478,0.488,0.503,0.516,0.524,0.528,0.536,0.54,0.543,0.546,0.548,0.542,0.538,0.534,0.529,0.522,0.51,0.495,0.501,0.505
Cambodia,Asia/Pacific,KHM,Subnat,KHMr105,"Kampong Thum",0.368,0.373,0.377,0.379,0.38,0.384,0.388,0.393,0.398,0.408,0.417,0.435,0.458,0.475,0.492,0.506,0.512,0.516,0.516,0.511,0.511,0.515,0.518,0.521,0.525,0.529,0.536,0.542,0.548,0.554,0.553,0.552,0.559,0.563
Cambodia,Asia/Pacific,KHM,Subnat,KHMr114,"Kampot-Krong Kaeb-Krong Preah Sihanouk",0.387,0.392,0.396,0.398,0.4,0.404,0.408,0.414,0.419,0.429,0.438,0.455,0.476,0.492,0.508,0.521,0.529,0.536,0.538,0.536,0.538,0.544,0.55,0.555,0.561,0.562,0.566,0.569,0.573,0.576,0.573,0.568,0.575,0.579
Cambodia,Asia/Pacific,KHM,Subnat,KHMr106,Kandal,0.391,0.396,0.4,0.402,0.404,0.408,0.412,0.418,0.423,0.433,0.442,0.461,0.485,0.503,0.521,0.536,0.545,0.553,0.556,0.554,0.556,0.559,0.562,0.564,0.566,0.57,0.577,0.583,0.59,0.596,0.597,0.595,0.602,0.606
Cambodia,Asia/Pacific,KHM,Subnat,KHMr107,"Kaoh Kong",0.376,0.381,0.384,0.387,0.388,0.392,0.396,0.401,0.407,0.416,0.425,0.437,0.454,0.466,0.478,0.487,0.503,0.516,0.525,0.529,0.537,0.549,0.561,0.572,0.583,0.578,0.576,0.573,0.57,0.565,0.555,0.543,0.55,0.554
Cambodia,Asia/Pacific,KHM,Subnat,KHMr116,"Mondol Kiri-Rotanak Kiri",0.278,0.281,0.284,0.286,0.287,0.29,0.293,0.297,0.301,0.308,0.315,0.327,0.342,0.353,0.364,0.373,0.397,0.418,0.435,0.447,0.462,0.469,0.477,0.483,0.49,0.495,0.503,0.511,0.518,0.525,0.526,0.526,0.533,0.537
Cambodia,Asia/Pacific,KHM,Subnat,KHMr108,"Phnom Penh",0.55,0.556,0.561,0.565,0.567,0.573,0.579,0.586,0.593,0.605,0.616,0.625,0.64,0.647,0.654,0.658,0.677,0.694,0.705,0.71,0.719,0.71,0.7,0.691,0.682,0.682,0.687,0.691,0.695,0.699,0.696,0.691,0.699,0.703
Cambodia,Asia/Pacific,KHM,Subnat,KHMr110,Pousat,0.345,0.35,0.353,0.356,0.357,0.36,0.364,0.369,0.374,0.383,0.392,0.412,0.437,0.457,0.477,0.494,0.506,0.515,0.521,0.522,0.527,0.527,0.528,0.528,0.529,0.528,0.53,0.532,0.534,0.534,0.53,0.524,0.53,0.534
Cambodia,Asia/Pacific,KHM,Subnat,KHMr115,"Preah Vihear-Stueng Traeng-Kracheh",0.364,0.369,0.373,0.375,0.376,0.38,0.384,0.389,0.394,0.404,0.413,0.424,0.439,0.45,0.46,0.468,0.476,0.482,0.485,0.483,0.485,0.486,0.488,0.489,0.49,0.501,0.514,0.527,0.54,0.553,0.561,0.567,0.574,0.578
Cambodia,Asia/Pacific,KHM,Subnat,KHMr109,"Prey Veaeng",0.366,0.371,0.375,0.377,0.378,0.382,0.386,0.392,0.397,0.406,0.415,0.43,0.45,0.464,0.478,0.489,0.501,0.51,0.514,0.515,0.519,0.524,0.528,0.533,0.537,0.546,0.557,0.568,0.578,0.589,0.594,0.597,0.604,0.609
Cambodia,Asia/Pacific,KHM,Subnat,KHMr117,"Siem Reab-Otdar Mean Chey",0.344,0.349,0.352,0.354,0.356,0.359,0.363,0.368,0.373,0.382,0.39,0.407,0.43,0.447,0.464,0.478,0.492,0.503,0.511,0.514,0.521,0.521,0.521,0.521,0.521,0.532,0.546,0.56,0.573,0.587,0.595,0.601,0.608,0.612
Cambodia,Asia/Pacific,KHM,Subnat,KHMr111,"Svay Rieng",0.38,0.385,0.388,0.391,0.392,0.396,0.4,0.406,0.411,0.421,0.43,0.446,0.467,0.483,0.498,0.511,0.517,0.52,0.52,0.515,0.514,0.525,0.535,0.544,0.554,0.559,0.568,0.577,0.585,0.593,0.595,0.595,0.603,0.607
Cambodia,Asia/Pacific,KHM,Subnat,KHMr112,Takaev,0.395,0.4,0.404,0.407,0.408,0.412,0.417,0.422,0.428,0.438,0.447,0.464,0.486,0.502,0.518,0.531,0.536,0.538,0.535,0.529,0.526,0.542,0.557,0.571,0.586,0.591,0.599,0.607,0.615,0.622,0.624,0.624,0.631,0.636
Lao,Asia/Pacific,LAO,National,LAOt,Total,0.409,0.415,0.42,0.426,0.434,0.436,0.449,0.455,0.462,0.469,0.473,0.479,0.488,0.496,0.505,0.514,0.515,0.529,0.537,0.548,0.556,0.567,0.577,0.587,0.597,0.604,0.609,0.612,0.613,0.615,0.616,0.613,0.614,0.617
Lao,Asia/Pacific,LAO,Subnat,LAOr117,Attapeu,0.379,0.384,0.389,0.395,0.403,0.404,0.416,0.422,0.428,0.435,0.439,0.444,0.453,0.461,0.469,0.478,0.479,0.492,0.499,0.51,0.517,0.528,0.537,0.55,0.564,0.575,0.582,0.589,0.59,0.592,0.593,0.589,0.591,0.593
Lao,Asia/Pacific,LAO,Subnat,LAOr105,Bokeo,0.38,0.385,0.39,0.396,0.403,0.405,0.417,0.423,0.429,0.436,0.439,0.445,0.454,0.462,0.47,0.479,0.48,0.493,0.5,0.511,0.518,0.529,0.538,0.55,0.563,0.572,0.579,0.585,0.586,0.588,0.588,0.585,0.586,0.589
Lao,Asia/Pacific,LAO,Subnat,LAOr111,Borikhamxay,0.453,0.459,0.465,0.471,0.48,0.482,0.495,0.503,0.509,0.517,0.521,0.528,0.537,0.546,0.555,0.566,0.567,0.582,0.59,0.602,0.61,0.622,0.632,0.639,0.645,0.649,0.649,0.648,0.649,0.652,0.652,0.649,0.651,0.653
Lao,Asia/Pacific,LAO,Subnat,LAOr116,Champasack,0.41,0.416,0.422,0.428,0.436,0.438,0.45,0.457,0.463,0.47,0.474,0.48,0.489,0.497,0.506,0.515,0.516,0.53,0.538,0.549,0.557,0.568,0.577,0.586,0.594,0.599,0.602,0.603,0.605,0.607,0.608,0.605,0.606,0.609
Lao,Asia/Pacific,LAO,Subnat,LAOr107,Huaphanh,0.394,0.4,0.405,0.411,0.419,0.42,0.433,0.44,0.446,0.453,0.457,0.463,0.472,0.48,0.489,0.498,0.499,0.513,0.521,0.532,0.54,0.551,0.56,0.569,0.577,0.582,0.584,0.585,0.586,0.588,0.588,0.584,0.585,0.588
Lao,Asia/Pacific,LAO,Subnat,LAOr112,Khammuane,0.386,0.392,0.397,0.402,0.41,0.412,0.424,0.43,0.436,0.443,0.447,0.452,0.461,0.469,0.477,0.486,0.487,0.501,0.508,0.519,0.526,0.537,0.546,0.559,0.572,0.582,0.588,0.594,0.595,0.597,0.598,0.594,0.596,0.598
Lao,Asia/Pacific,LAO,Subnat,LAOr103,Luangnamtha,0.399,0.404,0.41,0.415,0.423,0.424,0.437,0.444,0.45,0.457,0.461,0.466,0.475,0.484,0.492,0.502,0.503,0.516,0.524,0.535,0.542,0.554,0.562,0.57,0.577,0.581,0.582,0.582,0.582,0.584,0.584,0.58,0.58,0.583
Lao,Asia/Pacific,LAO,Subnat,LAOr106,Luangprabang,0.386,0.391,0.396,0.402,0.41,0.412,0.424,0.43,0.436,0.443,0.447,0.453,0.462,0.47,0.478,0.487,0.488,0.502,0.509,0.52,0.527,0.539,0.547,0.561,0.575,0.586,0.593,0.598,0.599,0.601,0.601,0.598,0.599,0.601
Lao,Asia/Pacific,LAO,Subnat,LAOr104,Oudomxay,0.357,0.363,0.367,0.372,0.38,0.381,0.393,0.399,0.405,0.411,0.415,0.42,0.429,0.436,0.444,0.453,0.454,0.467,0.474,0.484,0.491,0.502,0.51,0.527,0.543,0.555,0.565,0.574,0.575,0.577,0.577,0.573,0.575,0.577
Lao,Asia/Pacific,LAO,Subnat,LAOr102,Phongsaly,0.335,0.34,0.345,0.35,0.357,0.358,0.369,0.375,0.381,0.387,0.39,0.395,0.403,0.411,0.418,0.427,0.428,0.44,0.447,0.457,0.464,0.474,0.482,0.499,0.515,0.529,0.54,0.549,0.55,0.552,0.552,0.548,0.549,0.551
Lao,Asia/Pacific,LAO,Subnat,LAOr114,Saravane,0.337,0.342,0.346,0.351,0.358,0.36,0.371,0.376,0.382,0.388,0.391,0.396,0.404,0.412,0.419,0.427,0.428,0.44,0.447,0.457,0.463,0.473,0.481,0.494,0.506,0.515,0.522,0.527,0.529,0.531,0.531,0.528,0.529,0.532
Lao,Asia/Pacific,LAO,Subnat,LAOr113,Savannakhet,0.362,0.368,0.373,0.378,0.385,0.387,0.398,0.405,0.41,0.417,0.42,0.426,0.434,0.441,0.449,0.458,0.459,0.472,0.479,0.489,0.496,0.506,0.515,0.529,0.543,0.555,0.563,0.57,0.571,0.573,0.574,0.571,0.572,0.574
Lao,Asia/Pacific,LAO,Subnat,LAOr108,Sayabury,0.422,0.428,0.434,0.44,0.448,0.45,0.463,0.47,0.476,0.483,0.487,0.493,0.503,0.511,0.52,0.53,0.531,0.545,0.553,0.564,0.572,0.584,0.593,0.611,0.63,0.645,0.656,0.666,0.668,0.67,0.67,0.667,0.668,0.671
Lao,Asia/Pacific,LAO,Subnat,LAOr115,Sekong,0.391,0.397,0.402,0.408,0.416,0.417,0.43,0.437,0.443,0.45,0.454,0.459,0.469,0.477,0.485,0.495,0.496,0.51,0.517,0.529,0.536,0.548,0.557,0.566,0.575,0.58,0.583,0.585,0.585,0.587,0.587,0.583,0.585,0.587
Lao,Asia/Pacific,LAO,Subnat,LAOr101,"Vientiane Municipality",0.542,0.55,0.557,0.565,0.575,0.578,0.593,0.601,0.609,0.618,0.623,0.631,0.642,0.652,0.662,0.674,0.676,0.693,0.702,0.716,0.725,0.739,0.751,0.75,0.75,0.746,0.74,0.732,0.734,0.737,0.738,0.735,0.737,0.74
Lao,Asia/Pacific,LAO,Subnat,LAOr110,"Vientiane Province",0.469,0.476,0.482,0.489,0.498,0.5,0.514,0.521,0.528,0.536,0.541,0.547,0.557,0.566,0.576,0.586,0.588,0.603,0.611,0.624,0.632,0.645,0.655,0.652,0.649,0.643,0.635,0.625,0.626,0.629,0.629,0.625,0.627,0.63
Lao,Asia/Pacific,LAO,Subnat,LAOr109,Xiengkhuang,0.424,0.43,0.436,0.442,0.45,0.452,0.465,0.472,0.479,0.486,0.49,0.496,0.506,0.515,0.523,0.534,0.535,0.549,0.557,0.569,0.577,0.589,0.598,0.61,0.621,0.63,0.635,0.639,0.64,0.642,0.643,0.64,0.641,0.644
Vietnam,Asia/Pacific,VNM,National,VNMt,Total,0.499,0.509,0.521,0.531,0.543,0.556,0.567,0.578,0.588,0.596,0.604,0.612,0.621,0.63,0.638,0.647,0.656,0.664,0.672,0.679,0.686,0.693,0.698,0.704,0.711,0.717,0.723,0.729,0.737,0.744,0.755,0.754,0.764,0.766
Vietnam,Asia/Pacific,VNM,Subnat,VNMr104,"Central Highlands",0.479,0.488,0.499,0.509,0.521,0.533,0.544,0.555,0.561,0.566,0.571,0.575,0.581,0.594,0.607,0.621,0.634,0.64,0.646,0.65,0.655,0.658,0.659,0.66,0.661,0.668,0.675,0.682,0.691,0.698,0.71,0.71,0.72,0.722
Vietnam,Asia/Pacific,VNM,Subnat,VNMr106,"Mekong River Delta",0.454,0.463,0.474,0.484,0.495,0.507,0.517,0.527,0.538,0.545,0.554,0.562,0.571,0.583,0.594,0.606,0.618,0.625,0.632,0.638,0.644,0.652,0.659,0.667,0.675,0.68,0.685,0.691,0.697,0.703,0.713,0.712,0.721,0.723
Vietnam,Asia/Pacific,VNM,Subnat,VNMr103,"North Central Coast and South Central Coast",0.497,0.507,0.519,0.529,0.541,0.554,0.566,0.576,0.587,0.595,0.604,0.613,0.622,0.633,0.642,0.652,0.662,0.667,0.67,0.673,0.676,0.686,0.695,0.704,0.713,0.72,0.727,0.734,0.742,0.75,0.762,0.762,0.772,0.775
Vietnam,Asia/Pacific,VNM,Subnat,VNMr102,"North East, North West",0.466,0.476,0.487,0.496,0.508,0.52,0.531,0.541,0.551,0.558,0.565,0.573,0.581,0.588,0.595,0.603,0.61,0.624,0.636,0.648,0.661,0.662,0.663,0.664,0.665,0.672,0.678,0.685,0.692,0.7,0.711,0.711,0.72,0.723
Vietnam,Asia/Pacific,VNM,Subnat,VNMr101,"Red River Delta",0.533,0.543,0.555,0.566,0.578,0.592,0.604,0.615,0.626,0.635,0.644,0.653,0.662,0.667,0.67,0.675,0.679,0.693,0.707,0.719,0.732,0.738,0.743,0.749,0.754,0.76,0.766,0.772,0.78,0.787,0.798,0.797,0.808,0.81
Vietnam,Asia/Pacific,VNM,Subnat,VNMr105,"South East",0.553,0.563,0.576,0.587,0.599,0.613,0.625,0.637,0.646,0.651,0.658,0.665,0.672,0.681,0.689,0.699,0.708,0.712,0.716,0.719,0.722,0.728,0.733,0.738,0.744,0.747,0.75,0.753,0.757,0.761,0.77,0.765,0.775,0.778
